Wikidata ID,Wikidata Label
Q1024454,CSX Corporation
Q1055390,Cerner
Q1092571,Cintas
Q11463,Adobe
Q1155668,NXP Semiconductors
Q1383669,Exelon
Q14772,Baidu
Q15109865,Dexcom
Q1545076,GARANT
Q17081612,Moderna
Q173395,Cisco Systems
Q173941,Electronic Arts
Q182477,Nvidia
Q1835753,Splunk
Q18674747,Booking Holdings
Q1945295,Monster Beverage
Q196259,NetEase
Q20800404,Alphabet Inc.
Q2283,Microsoft
Q23133268,Match Group
Q248,Intel
Q24890758,CrowdStrike
Q2744099,Vertex Pharmaceuticals
Q2961234,Charter Communications
Q297879,ASML Holding
Q3067119,Fastenal
Q3116111,Keurig Dr Pepper
Q3277465,Sirius XM
Q3442791,Ross Stores
Q344341,Activision Blizzard
Q3598926,JD.com
Q47015652,Pinduoduo
Q483959,PayPal
Q489080,Automatic Data Processing
Q5289230,Dollar Tree
Q544847,Qualcomm Inc.
Q58024,eBay
Q663596,Gilead Sciences
Q6702957,Lululemon Athletica
Q715583,Costco
Q7308054,Regeneron Pharmaceuticals
Q7921370,Verisk Analytics
Q898208,"Honeywell International, Inc."
Q907311,Netflix
Q950419,Mercado Libre
Q1023155,CDW
Q1046482,Xilinx
Q1107035,Cognizant
Q1113804,Comcast
Q1141173,Marriott International
Q1197548,Micron Technology
Q12857502,Mondelez International
Q128896,Advanced Micro Devices
Q1342041,Lam Research
Q1347782,Marvell Technology Group
Q1420513,Fiserv
Q1477661,PACCAR
Q1486956,Xcel Energy
Q1521172,SeaGen
Q1591889,Walgreens
Q16951448,Copart
Q17460900,Zoom Video Communications
Q176587,Check Point
Q18345164,Trip.com
Q193412,Texas Instruments
Q19681433,Kraft Heinz
Q2303478,Synopsys
Q295774,Ansys
Q30272258,Align Technology
Q312,Apple
Q327634,T-Mobile International
Q334800,PepsiCo
Q37158,Starbucks
Q464092,American Electric Power
Q470517,Amgen
Q4827416,Broadcom Inc.
Q484930,Analog Devices
Q5287613,DocuSign
Q55627388,Okta
Q608776,Cadence Design Systems
Q621610,Applied Materials
Q624649,KLA Tencor
Q7071951,O'Reilly Auto Parts
Q734338,Verisign
Q7538146,Skyworks Solutions
Q757307,Atlassian
Q8034666,"Workday, Inc."
Q864338,Biogen
Q946080,Paychex
Q1318848,Intuit
Q6015591,Incyte
Q628051,Autodesk
Q2743863,Intuitive Surgical
